,t1,t2,t3,accel
1,2.4,1.0,0.7,0
2,2.6,1.0,2.0,-1.3
3,3.2,1.2,1.7,-2.7
4,3.6,1.9,1.6,0
5,4,2.1,2.8,-2.7
6,6.2,5.1,5.2,-2.7
7,6.6,5.1,5.7,-2.7
8,6.8,5.4,6.4,-1.3
9,7.8,6.1,6.5,-2.7
10,8.2,6.8,6.4,-2.7
11,8.8,7.7,7.7,-1.3
13,9.6,8.0,8.8,-2.7
14,10,8.7,8.8,-2.7
15,10.2,8.8,9.5,-5.4
16,10.6,9.1,9.0,-2.7
17,11,9.8,10.1,-5.4
18,11.4,10.4,9.7,0
19,13.2,11.4,12.2,-2.7
20,13.6,12.5,12.9,-2.7
21,13.8,12.0,12.5,0
22,14.6,13.2,13.3,-13.3
28,14.8,13.2,12.9,-2.7
29,15.4,13.5,13.8,-22.8
33,15.6,14.4,13.8,-40.2
35,15.8,13.9,15.2,-21.5
37,16,14.8,15.0,-42.9
39,16.2,14.4,15.6,-21.5
42,16.4,15.1,15.9,-5.4
44,16.6,14.9,15.3,-59
45,16.8,15.3,15.6,-71
48,17.6,16.6,16.6,-37.5
52,17.8,16.4,16.4,-99.1
54,18.6,17.1,17.7,-112.5
56,19.2,17.9,17.9,-123.1
57,19.4,17.5,19.0,-85.6
59,19.6,17.8,18.5,-127.2
60,20.2,18.6,19.4,-123.1
61,20.4,18.5,20.1,-117.9
62,21.2,20.2,20.8,-134
63,21.4,20.3,20.2,-101.9
64,21.8,20.4,20.7,-108.4
65,22,20.8,20.8,-123.1
66,23.2,21.8,21.9,-123.1
67,23.4,22.3,22.8,-128.5
68,24,22.9,23.5,-112.5
69,24.2,22.4,23.0,-95.1
71,24.6,23.5,23.2,-53.5
72,25,23.1,23.8,-64.4
74,25.4,23.6,23.9,-72.3
76,25.6,24.1,25.0,-26.8
77,26,24.3,24.7,-5.4
78,26.2,24.8,25.2,-107.1
80,26.4,25.0,25.8,-65.6
81,27,25.9,25.8,-16
82,27.2,25.3,26.6,-45.6
85,27.6,26.4,26.1,4
86,28.2,26.7,27.3,12
87,28.4,26.6,27.7,-21.5
89,28.6,27.5,27.7,46.9
90,29.4,27.9,27.9,-17.4
91,30.2,28.6,29.9,36.2
92,31,29.4,30.2,75
93,31.2,30.0,30.2,8.1
94,32,30.6,30.5,54.9
96,32.8,30.8,32.2,46.9
97,33.4,32.1,31.8,16
98,33.8,31.9,32.6,45.6
99,34.4,33.4,33.1,1.3
100,34.8,33.2,32.9,75
101,35.2,33.3,34.3,-16
103,35.4,33.5,34.8,69.6
104,35.6,34.0,34.1,34.8
106,36.2,34.6,35.5,-37.5
108,38,36.7,37.6,46.9
110,39.2,38.1,37.4,5.4
111,39.4,37.9,37.9,-1.3
112,40,38.5,39.3,-21.5
113,40.4,38.7,39.4,-13.3
114,41.6,39.6,40.5,30.8
116,42.4,40.7,41.2,29.4
117,42.8,41.1,41.7,0
119,43,41.5,42.7,14.7
120,44,42.4,42.9,-1.3
121,44.4,43.2,42.5,0
122,45,43.9,44.2,10.7
123,46.6,45.5,45.7,10.7
124,47.8,46.8,46.9,-26.8
126,48.8,46.9,47.7,-13.3
127,50.6,49.2,49.5,0
128,52,50.5,51.1,10.7
129,53.2,51.2,52.5,-14.7
130,55,53.3,54.0,-2.7
132,55.4,54.1,54.3,-2.7
133,57.6,55.6,56.1,10.7
